organization,activity_id,activity_type,sample_media,sample_date,site_id,site_name,latitude,longitude,pfas_compound,detection_condition,result_value,result_unit,result_status,analytical_method,reporting_limit_type,reporting_limit,reporting_limit_unit,provider,result_value_numeric
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Fluorotelomer sulfonate 8:2,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorovaleric acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,3.5,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorobutanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorodecanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorohexanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorotetradecanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,18.0,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,2-(N-methylperfluoro-1-octanesulfonamido)-ethanol,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,18.0,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorooctanesulfonamide,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
